"Label (Grouping)","Total"
"ZCTA5 00601",""
"    ZCTA5 00601","17,242"
"ZCTA5 00602",""
"    ZCTA5 00602","37,548"
"ZCTA5 00603",""
"    ZCTA5 00603","49,804"
"ZCTA5 00606",""
"    ZCTA5 00606","5,009"
"ZCTA5 00610",""
"    ZCTA5 00610","25,731"
"ZCTA5 00611",""
"    ZCTA5 00611","1,671"
"ZCTA5 00612",""
"    ZCTA5 00612","62,425"
"ZCTA5 00616",""
"    ZCTA5 00616","9,828"
"ZCTA5 00617",""
"    ZCTA5 00617","22,541"
"ZCTA5 00622",""
"    ZCTA5 00622","7,838"
"ZCTA5 00623",""
"    ZCTA5 00623","39,320"
"ZCTA5 00624",""
"    ZCTA5 00624","21,709"
"ZCTA5 00627",""
"    ZCTA5 00627","32,873"
"ZCTA5 00631",""
"    ZCTA5 00631","1,414"
"ZCTA5 00636",""
"    ZCTA5 00636","555"
"ZCTA5 00637",""
"    ZCTA5 00637","23,124"
"ZCTA5 00638",""
"    ZCTA5 00638","18,109"
"ZCTA5 00641",""
"    ZCTA5 00641","24,292"
"ZCTA5 00646",""
"    ZCTA5 00646","36,272"
"ZCTA5 00647",""
"    ZCTA5 00647","4,611"
"ZCTA5 00650",""
"    ZCTA5 00650","13,637"
"ZCTA5 00652",""
"    ZCTA5 00652","4,020"
"ZCTA5 00653",""
"    ZCTA5 00653","9,244"
"ZCTA5 00656",""
"    ZCTA5 00656","17,965"
"ZCTA5 00659",""
"    ZCTA5 00659","37,421"
"ZCTA5 00660",""
"    ZCTA5 00660","15,448"
"ZCTA5 00662",""
"    ZCTA5 00662","40,770"
"ZCTA5 00664",""
"    ZCTA5 00664","15,066"
"ZCTA5 00667",""
"    ZCTA5 00667","23,522"
"ZCTA5 00669",""
"    ZCTA5 00669","27,833"
"ZCTA5 00670",""
"    ZCTA5 00670","8,828"
"ZCTA5 00674",""
"    ZCTA5 00674","39,345"
"ZCTA5 00676",""
"    ZCTA5 00676","36,706"
"ZCTA5 00677",""
"    ZCTA5 00677","15,379"
"ZCTA5 00678",""
"    ZCTA5 00678","25,410"
"ZCTA5 00680",""
"    ZCTA5 00680","46,056"
"ZCTA5 00682",""
"    ZCTA5 00682","28,299"
"ZCTA5 00683",""
"    ZCTA5 00683","29,788"
"ZCTA5 00685",""
"    ZCTA5 00685","40,294"
"ZCTA5 00687",""
"    ZCTA5 00687","28,727"
"ZCTA5 00688",""
"    ZCTA5 00688","12,443"
"ZCTA5 00690",""
"    ZCTA5 00690","5,326"
"ZCTA5 00692",""
"    ZCTA5 00692","32,873"
"ZCTA5 00693",""
"    ZCTA5 00693","56,095"
"ZCTA5 00694",""
"    ZCTA5 00694","231"
"ZCTA5 00698",""
"    ZCTA5 00698","33,774"
"ZCTA5 00703",""
"    ZCTA5 00703","25,332"
"ZCTA5 00704",""
"    ZCTA5 00704","6,865"
"ZCTA5 00705",""
"    ZCTA5 00705","24,467"
"ZCTA5 00707",""
"    ZCTA5 00707","10,544"
"ZCTA5 00714",""
"    ZCTA5 00714","15,802"
"ZCTA5 00715",""
"    ZCTA5 00715","2,299"
"ZCTA5 00716",""
"    ZCTA5 00716","28,423"
"ZCTA5 00717",""
"    ZCTA5 00717","14,199"
"ZCTA5 00718",""
"    ZCTA5 00718","23,290"
"ZCTA5 00719",""
"    ZCTA5 00719","30,063"
"ZCTA5 00720",""
"    ZCTA5 00720","20,331"
"ZCTA5 00723",""
"    ZCTA5 00723","15,983"
"ZCTA5 00725",""
"    ZCTA5 00725","77,223"
"ZCTA5 00727",""
"    ZCTA5 00727","54,207"
"ZCTA5 00728",""
"    ZCTA5 00728","36,675"
"ZCTA5 00729",""
"    ZCTA5 00729","47,393"
"ZCTA5 00730",""
"    ZCTA5 00730","30,521"
"ZCTA5 00731",""
"    ZCTA5 00731","12,292"
"ZCTA5 00735",""
"    ZCTA5 00735","11,299"
"ZCTA5 00736",""
"    ZCTA5 00736","45,833"
"ZCTA5 00738",""
"    ZCTA5 00738","30,706"
"ZCTA5 00739",""
"    ZCTA5 00739","34,964"
"ZCTA5 00740",""
"    ZCTA5 00740","1,492"
"ZCTA5 00741",""
"    ZCTA5 00741","3,526"
"ZCTA5 00745",""
"    ZCTA5 00745","47,718"
"ZCTA5 00751",""
"    ZCTA5 00751","19,369"
"ZCTA5 00754",""
"    ZCTA5 00754","36,673"
"ZCTA5 00757",""
"    ZCTA5 00757","20,183"
"ZCTA5 00765",""
"    ZCTA5 00765","8,249"
"ZCTA5 00766",""
"    ZCTA5 00766","22,354"
"ZCTA5 00767",""
"    ZCTA5 00767","30,646"
"ZCTA5 00769",""
"    ZCTA5 00769","34,163"
"ZCTA5 00771",""
"    ZCTA5 00771","34,761"
"ZCTA5 00772",""
"    ZCTA5 00772","17,936"
"ZCTA5 00773",""
"    ZCTA5 00773","17,772"
"ZCTA5 00775",""
"    ZCTA5 00775","1,792"
"ZCTA5 00777",""
"    ZCTA5 00777","37,717"
"ZCTA5 00778",""
"    ZCTA5 00778","40,585"
"ZCTA5 00780",""
"    ZCTA5 00780","14,934"
"ZCTA5 00782",""
"    ZCTA5 00782","17,965"
"ZCTA5 00783",""
"    ZCTA5 00783","34,093"
"ZCTA5 00784",""
"    ZCTA5 00784","36,313"
